Unnamed: 0,price
1,343.45053
3,701.4455
8,378.8918
10,412.5507
12,148.56241
22,628.0317
23,476.26068
26,620.5472
29,648.57513
30,707.856
31,689.9696
32,664.0427
33,747.33594
34,703.52264
35,837.2777
36,659.8219
37,763.06085
39,648.57513
43,656.94763
44,836.37805
52,621.3655
76,657.502
77,747.2792
78,899.8261
79,899.8261
80,786.90985
81,786.90985
82,1049.5165
83,784.7994
85,799.02655
91,2840.128
93,2540.677
96,2783.9788
97,2905.837
119,2952.5818
123,2463.8733
124,2570.432
125,2570.432
126,2464.4429
127,3041.0955
129,2947.3596
130,2659.6318
134,2791.227
140,2664.967
143,2927.1228
144,3118.331
146,2353.8438
149,2713.5103
150,2701.3245
168,2194.0532
169,2601.4517
172,2986.229
175,2900.602
187,3432.1821
192,2885.5823
193,2535.6963
194,2589.083
195,2518.8135
196,2572.085
197,2518.8135
198,2628.3762
199,2731.7188
201,2493.0054
202,2525.523
203,2600.4504
204,2678.302
207,2461.398
211,2713.2642
215,2894.0479
222,2953.8152
223,2830.3782
227,2734.8792
235,2688.255
236,2873.296
250,2900.602
257,2752.0698
267,2926.7078
268,3000.4167
270,3125.119
272,2866.2754
273,2741.9075
297,3003.9446
303,2870.6238
307,2819.4548
330,2713.2642
334,2538.7422
342,3915.4304
346,2905.4355
349,3319.772
350,2671.7505
361,3099.541
364,2851.6467
369,2928.3809
372,2273.533
377,4065.8914
378,2816.5403
379,3118.331
381,2725.6135
387,2565.544
388,2841.1536
389,2337.5496
390,2603.0967
409,663.885
410,658.9858
411,482.29254
412,482.29254
416,-368.4372
420,766.9697
421,2823.3464
422,2589.035
427,3386.514
429,3196.6235
436,2514.5981
437,2472.8083
438,2594.2375
439,2551.5164
463,2654.2463
464,2770.7717
465,2727.6216
469,3035.4204
470,3159.5159
471,2464.4429
472,2941.0652
476,3026.9094
488,2887.151
492,2660.479
498,2713.5103
499,2706.7844
502,2755.5884
503,2791.227
504,2776.0408
505,2400.5854
506,2614.335
507,2614.335
508,2666.4282
509,2617.55
510,2790.3005
520,2870.6238
521,2714.042
527,2976.9944
529,3024.3782
531,2755.8494
532,2826.8103
533,3011.1711
537,2809.9275
540,3068.6218
541,2864.308
542,2476.7402
